ID,SystemCodeNumber,Capacity,Latitude,Longitude,Occupancy,VehicleType,TrafficConditionNearby,QueueLength,IsSpecialDay,LastUpdatedDate,LastUpdatedTime,Timestamp,TrafficValue,VehicleWeight,DemandRaw,DemandNorm,Price,CompAdjustedPrice
0,BHMBCCMKT01,577,26.14453614,91.73617216,61,car,low,1,0,04-10-2016,07:59:00,2016-10-04 07:59:00,1.0,1.0,0.1422876949740035,0.1030371151383753,10.515185575691877,11.015185575691877
5248,BHMNCPHST01,1200,26.14001386,91.73099967,237,bike,low,2,0,04-10-2016,07:59:00,2016-10-04 07:59:00,1.0,0.5,0.279,0.14512865710347347,10.725643285517368,11.225643285517368
3936,BHMMBMMBX01,687,20.0000347,78.00000286,264,car,low,2,0,04-10-2016,07:59:00,2016-10-04 07:59:00,1.0,1.0,0.4537117903930131,0.19891963557996517,10.994598177899826,10.994598177899826
6560,BHMNCPNST01,485,26.14004753,91.73097233,249,car,low,2,0,04-10-2016,07:59:00,2016-10-04 07:59:00,1.0,1.0,0.5053608247422681,0.21482155089296545,11.074107754464828,10.574107754464828
17056,Shopping,1920,26.15050395,91.73353109,614,cycle,low,2,0,04-10-2016,07:59:00,2016-10-04 07:59:00,1.0,,,,,20.0
2624,BHMEURBRD01,470,26.14901995,91.7395035,117,car,low,2,0,04-10-2016,07:59:00,2016-10-04 07:59:00,1.0,1.0,0.39957446808510644,0.18225161602336426,10.911258080116822,10.411258080116822
7872,Broad Street,690,26.13795775,91.74099445,178,car,low,2,0,04-10-2016,07:59:00,2016-10-04 07:59:00,1.0,1.0,0.40318840579710147,0.18336428990326675,10.916821449516334,10.416821449516334
14432,Others-CCCPS8,1322,26.14754886,91.72799519,445,bike,average,3,0,04-10-2016,07:59:00,2016-10-04 07:59:00,,0.5,,,,20.0
9184,Others-CCCPS105a,2009,26.14747299,91.72804914,709,car,low,2,0,04-10-2016,07:59:00,2016-10-04 07:59:00,1.0,1.0,0.4411647585863614,0.19505660426228913,10.975283021311446,10.475283021311446
10496,Others-CCCPS119a,2803,26.14754061,91.72797041,195,car,low,1,0,04-10-2016,07:59:00,2016-10-04 07:59:00,1.0,1.0,0.12782732786300396,0.0985849983448824,10.492924991724413,10.992924991724413
1312,BHMBCCTHL01,387,26.14449459,91.73620513,120,car,low,2,0,04-10-2016,07:59:00,2016-10-04 07:59:00,1.0,1.0,0.424031007751938,0.1897813951863429,10.948906975931713,10.448906975931713
11808,Others-CCCPS135a,3883,26.14749943,91.72800489,1081,car,low,2,0,04-10-2016,07:59:00,2016-10-04 07:59:00,1.0,1.0,0.4113571980427505,0.18587933097105155,10.929396654855257,10.429396654855257
13120,Others-CCCPS202,2937,26.14749053,91.72799688,547,bike,low,2,0,04-10-2016,07:59:00,2016-10-04 07:59:00,1.0,0.5,0.2744977868573375,0.14374249736171385,10.71871248680857,11.21871248680857
15744,Others-CCCPS98,3103,26.14749998,91.72797778,588,car,average,2,0,04-10-2016,07:59:00,2016-10-04 07:59:00,,1.0,,,,20.0
14433,Others-CCCPS8,1322,26.14754886,91.72799519,478,truck,low,2,0,04-10-2016,08:25:00,2016-10-04 08:25:00,1.0,1.5,0.5446293494704992,0.2269117044178551,11.134558522089275,10.634558522089275
6561,BHMNCPNST01,485,26.14004753,91.73097233,267,truck,low,2,0,04-10-2016,08:25:00,2016-10-04 08:25:00,1.0,1.5,0.6202061855670105,0.25018060890703575,11.250903044535178,10.750903044535178
9185,Others-CCCPS105a,2009,26.14747299,91.72804914,780,car,average,3,0,04-10-2016,08:25:00,2016-10-04 08:25:00,,1.0,,,,20.0
13121,Others-CCCPS202,2937,26.14749053,91.72799688,665,car,low,2,0,04-10-2016,08:25:00,2016-10-04 08:25:00,1.0,1.0,0.39056860742254007,0.17947885491793078,10.897394274589654,11.397394274589654
11809,Others-CCCPS135a,3883,26.14749943,91.72800489,1467,bike,low,3,0,04-10-2016,08:25:00,2016-10-04 08:25:00,1.0,0.5,0.551120267834149,0.2289101548327145,11.144550774163573,10.644550774163573
1313,BHMBCCTHL01,387,26.14449459,91.73620513,129,car,average,2,0,04-10-2016,08:25:00,2016-10-04 08:25:00,,1.0,,,,20.0
3937,BHMMBMMBX01,687,20.0000347,78.00000286,302,car,low,1,0,04-10-2016,08:25:00,2016-10-04 08:25:00,1.0,1.0,0.2758369723435226,0.144154811250212,10.720774056251061,10.720774056251061
2625,BHMEURBRD01,470,26.14901995,91.7395035,174,bike,low,1,0,04-10-2016,08:25:00,2016-10-04 08:25:00,1.0,0.5,0.14808510638297875,0.10482204580400498,10.524110229020025,11.024110229020025
15745,Others-CCCPS98,3103,26.14749998,91.72797778,678,bike,average,3,0,04-10-2016,08:25:00,2016-10-04 08:25:00,,0.5,,,,20.0
7873,Broad Street,690,26.13795775,91.74099445,269,car,low,2,0,04-10-2016,08:25:00,2016-10-04 08:25:00,1.0,1.0,0.4559420289855073,0.1996062905324239,10.99803145266212,10.49803145266212
10497,Others-CCCPS119a,2803,26.14754061,91.72797041,238,car,average,2,0,04-10-2016,08:25:00,2016-10-04 08:25:00,,1.0,,,,20.0
17057,Shopping,1920,26.15050395,91.73353109,761,car,low,2,0,04-10-2016,08:25:00,2016-10-04 08:25:00,1.0,1.0,0.45854166666666674,0.20040667758265882,11.002033387913295,10.502033387913295
5249,BHMNCPHST01,1200,26.14001386,91.73099967,315,bike,low,2,0,04-10-2016,08:25:00,2016-10-04 08:25:00,1.0,0.5,0.30500000000000005,0.15313364312784378,10.76566821563922,11.26566821563922
1,BHMBCCMKT01,577,26.14453614,91.73617216,64,car,low,1,0,04-10-2016,08:25:00,2016-10-04 08:25:00,1.0,1.0,0.14436741767764302,0.10367742864519068,10.518387143225954,11.018387143225954
14434,Others-CCCPS8,1322,26.14754886,91.72799519,518,car,average,3,0,04-10-2016,08:59:00,2016-10-04 08:59:00,,1.0,,,,20.0
1314,BHMBCCTHL01,387,26.14449459,91.73620513,155,car,low,2,0,04-10-2016,08:59:00,2016-10-04 08:59:00,1.0,1.0,0.46020671834625326,0.2009193204836182,11.00459660241809,11.50459660241809
10498,Others-CCCPS119a,2803,26.14754061,91.72797041,323,car,low,2,0,04-10-2016,08:59:00,2016-10-04 08:59:00,1.0,1.0,0.34609347128077067,0.16578566863920655,10.828928343196033,11.328928343196033
17058,Shopping,1920,26.15050395,91.73353109,958,car,low,2,0,04-10-2016,08:59:00,2016-10-04 08:59:00,1.0,1.0,0.4995833333333334,0.21304275327817926,11.065213766390896,10.565213766390896
